ytid_V,Comments,Emotion,Extra_emotion,aspect_version,caption_version,shorth_aspect,short_caption,Instrumental,aspect_list,caption
-Vo4CAMX26U_1,"Does not follow ""low quality"" text command or nature sounds.",Exciting,"Energetic, epic",TRUE,FALSE,FALSE,TRUE,FALSE,"low quality, low windpipe vocal sounds, nature atmosphere sound effect, birds chirping, water flowing sound effect, harsh, loud","The low quality recording features a low windpipe vocal sound played in nature, surrounded by flowing water and chirping birds sound effects. Sounds a bit harsh and loud, "
-Vo4CAMX26U_2,"Does not follow ""low quality"" text command or nature sounds.",Exciting,"Energetic, epic",TRUE,FALSE,FALSE,TRUE,FALSE,"low quality, low windpipe vocal sounds, nature atmosphere sound effect, birds chirping, water flowing sound effect, harsh, loud","The low quality recording features a low windpipe vocal sound played in nature, surrounded by flowing water and chirping birds sound effects. Sounds a bit harsh and loud, "
-Vo4CAMX26U_3,,Calm,Disgust,FALSE,TRUE,FALSE,TRUE,FALSE,"low quality, low windpipe vocal sounds, nature atmosphere sound effect, birds chirping, water flowing sound effect, harsh, loud","The low quality recording features a low windpipe vocal sound played in nature, surrounded by flowing water and chirping birds sound effects. Sounds a bit harsh and loud, "
-Vo4CAMX26U_4,"Does not follow ""low quality"" text command or nature sounds. ",Calm,Chill,FALSE,TRUE,FALSE,TRUE,FALSE,"low quality, low windpipe vocal sounds, nature atmosphere sound effect, birds chirping, water flowing sound effect, harsh, loud","The low quality recording features a low windpipe vocal sound played in nature, surrounded by flowing water and chirping birds sound effects. Sounds a bit harsh and loud, "
-YIT4HBM__g_1,No noise or people talking in backgorund. Good a capella.,Calm,Relaxing,TRUE,FALSE,TRUE,TRUE,FALSE,"female singer, high notes, choral harmony, ethereal, vocal vibrations, ethereal, soprano, alto, whirring sound, seconds, melodic, angelic, celestial, no instruments, sound of chatter, rustling,","A female vocalist sings this mellifluous song.The tempo is slow with the vocalist singing a soprano, with alto choral harmony. There are sounds of rustling, whirring,scuttling and people talking."
-YIT4HBM__g_2,No noise or people talking in backgorund. Good a capella.,Calm,Relaxing,TRUE,FALSE,TRUE,TRUE,FALSE,"female singer, high notes, choral harmony, ethereal, vocal vibrations, ethereal, soprano, alto, whirring sound, seconds, melodic, angelic, celestial, no instruments, sound of chatter, rustling,","A female vocalist sings this mellifluous song.The tempo is slow with the vocalist singing a soprano, with alto choral harmony. There are sounds of rustling, whirring,scuttling and people talking."
-YIT4HBM__g_3,No noise or people talking in backgorund,Sad,,FALSE,TRUE,TRUE,TRUE,FALSE,"female singer, high notes, choral harmony, ethereal, vocal vibrations, ethereal, soprano, alto, whirring sound, seconds, melodic, angelic, celestial, no instruments, sound of chatter, rustling,","A female vocalist sings this mellifluous song.The tempo is slow with the vocalist singing a soprano, with alto choral harmony. There are sounds of rustling, whirring,scuttling and people talking."
-YIT4HBM__g_4,No noise or people talking in backgorund,Calm,,FALSE,TRUE,TRUE,TRUE,FALSE,"female singer, high notes, choral harmony, ethereal, vocal vibrations, ethereal, soprano, alto, whirring sound, seconds, melodic, angelic, celestial, no instruments, sound of chatter, rustling,","A female vocalist sings this mellifluous song.The tempo is slow with the vocalist singing a soprano, with alto choral harmony. There are sounds of rustling, whirring,scuttling and people talking."
-cQ-jUTEgck_1,,Exciting,,TRUE,FALSE,FALSE,TRUE,FALSE,"southern rock, blues rock, live performance, electric guitar, guitar solo, keyboard, bass guitar, acoustic drums, groovy",This is a live performance of a southern rock piece. There is an electric guitar playing a blues solo. There is a bass guitar playing in the background. The rhythm is being played by the acoustic drum
-cQ-jUTEgck_2,,Exciting,,TRUE,FALSE,FALSE,TRUE,FALSE,"southern rock, blues rock, live performance, electric guitar, guitar solo, keyboard, bass guitar, acoustic drums, groovy",This is a live performance of a southern rock piece. There is an electric guitar playing a blues solo. There is a bass guitar playing in the background. The rhythm is being played by the acoustic drum
-cQ-jUTEgck_3,Not clearly a live performance,Exciting,,FALSE,TRUE,FALSE,TRUE,FALSE,"southern rock, blues rock, live performance, electric guitar, guitar solo, keyboard, bass guitar, acoustic drums, groovy",This is a live performance of a southern rock piece. There is an electric guitar playing a blues solo. There is a bass guitar playing in the background. The rhythm is being played by the acoustic drum
-cQ-jUTEgck_4,Not clearly a live performance,Exciting,,FALSE,TRUE,FALSE,TRUE,FALSE,"southern rock, blues rock, live performance, electric guitar, guitar solo, keyboard, bass guitar, acoustic drums, groovy",This is a live performance of a southern rock piece. There is an electric guitar playing a blues solo. There is a bass guitar playing in the background. The rhythm is being played by the acoustic drum
-fxh7jAJR8U_1,,Sad,"Melancholic, energetic",TRUE,FALSE,TRUE,TRUE,FALSE,"boy band, male singers, vocal harmony, retro pop hits, singing parts, medium tempo, keyboard accompaniment, steady drumming rhythm, steady bass line, tambourine percussions, love song, romantic, ","Male singers sing this vocal harmony. The tempo is medium with a steady drumming rhythm, various percussion tones, keyboard accompaniment, steady bass line and tambourine percussion. "
-fxh7jAJR8U_2,,Sad,"Melancholic, energetic",TRUE,FALSE,TRUE,TRUE,FALSE,"boy band, male singers, vocal harmony, retro pop hits, singing parts, medium tempo, keyboard accompaniment, steady drumming rhythm, steady bass line, tambourine percussions, love song, romantic, ","Male singers sing this vocal harmony. The tempo is medium with a steady drumming rhythm, various percussion tones, keyboard accompaniment, steady bass line and tambourine percussion. "
-fxh7jAJR8U_3,,Happy,Energetic,FALSE,TRUE,TRUE,TRUE,FALSE,"boy band, male singers, vocal harmony, retro pop hits, singing parts, medium tempo, keyboard accompaniment, steady drumming rhythm, steady bass line, tambourine percussions, love song, romantic, ","Male singers sing this vocal harmony. The tempo is medium with a steady drumming rhythm, various percussion tones, keyboard accompaniment, steady bass line and tambourine percussion. "
-fxh7jAJR8U_4,,Happy,,FALSE,TRUE,TRUE,TRUE,FALSE,"boy band, male singers, vocal harmony, retro pop hits, singing parts, medium tempo, keyboard accompaniment, steady drumming rhythm, steady bass line, tambourine percussions, love song, romantic, ","Male singers sing this vocal harmony. The tempo is medium with a steady drumming rhythm, various percussion tones, keyboard accompaniment, steady bass line and tambourine percussion. "
-kpR93atgd8_1,,Happy,Exciting,TRUE,FALSE,FALSE,TRUE,TRUE,"ska, saxophone, e-guitar, acoustic drums, percussion, keys, e-bass, fast tempo, uplifting energy",An acoustic drum is playing along with a bassline giving the song a ska/reggae feeling. The e-guitar strumming on the offbeat supports that feeling while a keyboard is playing a bell-sounding chord. 
-kpR93atgd8_2,,Happy,Exciting,TRUE,FALSE,FALSE,TRUE,TRUE,"ska, saxophone, e-guitar, acoustic drums, percussion, keys, e-bass, fast tempo, uplifting energy",An acoustic drum is playing along with a bassline giving the song a ska/reggae feeling. The e-guitar strumming on the offbeat supports that feeling while a keyboard is playing a bell-sounding chord. 
-kpR93atgd8_3,,Happy,Exciting,FALSE,TRUE,FALSE,TRUE,TRUE,"ska, saxophone, e-guitar, acoustic drums, percussion, keys, e-bass, fast tempo, uplifting energy",An acoustic drum is playing along with a bassline giving the song a ska/reggae feeling. The e-guitar strumming on the offbeat supports that feeling while a keyboard is playing a bell-sounding chord. 
-kpR93atgd8_4,,Happy,Exciting,FALSE,TRUE,FALSE,TRUE,TRUE,"ska, saxophone, e-guitar, acoustic drums, percussion, keys, e-bass, fast tempo, uplifting energy",An acoustic drum is playing along with a bassline giving the song a ska/reggae feeling. The e-guitar strumming on the offbeat supports that feeling while a keyboard is playing a bell-sounding chord. 
-nlkWWphiaM_1, One of the few that could be considered a live version due to simplicity. No clear noise as opposed to text commmand.,Sad,Melancholic,TRUE,FALSE,FALSE,TRUE,FALSE,"low quality, live performance, fruity male vocal, accordion melody, acoustic rhythm guitar, shimmering bells, emotional, hopeful, mono, noisy","The low quality recording features a live performance that consists of fruity male vocal singing over accordion melody, acoustic rhythm guitar chords and shimmering bells. It sounds emotional"
-nlkWWphiaM_2,Not clearly male voices. Nice vibrato on the voice. One of the few that could be considered a live version due to simplicity. No clear noise as opposed to text commmand.,Sad,Melancholic,TRUE,FALSE,FALSE,TRUE,FALSE,"low quality, live performance, fruity male vocal, accordion melody, acoustic rhythm guitar, shimmering bells, emotional, hopeful, mono, noisy","The low quality recording features a live performance that consists of fruity male vocal singing over accordion melody, acoustic rhythm guitar chords and shimmering bells. It sounds emotional"
-nlkWWphiaM_3,Not clearly male voices. One of the few that could be considered a live version due to simplicity. No clear noise as opposed to text commmand.,Sad,Melancholic,FALSE,TRUE,FALSE,TRUE,FALSE,"low quality, live performance, fruity male vocal, accordion melody, acoustic rhythm guitar, shimmering bells, emotional, hopeful, mono, noisy","The low quality recording features a live performance that consists of fruity male vocal singing over accordion melody, acoustic rhythm guitar chords and shimmering bells. It sounds emotional"
-nlkWWphiaM_4,Not clearly male voices. One of the few that could be considered a live version due to simplicity. No clear noise as opposed to text commmand.,Sad,Melancholic,FALSE,TRUE,FALSE,TRUE,FALSE,"low quality, live performance, fruity male vocal, accordion melody, acoustic rhythm guitar, shimmering bells, emotional, hopeful, mono, noisy","The low quality recording features a live performance that consists of fruity male vocal singing over accordion melody, acoustic rhythm guitar chords and shimmering bells. It sounds emotional"
-r7iz-9v9bA_1,,Content,,TRUE,FALSE,FALSE,TRUE,FALSE,"opera song, symphonic, female voice, string section, bass, muted guitar, fantasy song, slow tempo",This song features a female voice singing in opera style using only vocables and no words. This is accompanied by violins playing eighth note patterns that change according to the chords being played. 
-r7iz-9v9bA_2,,Content,,TRUE,FALSE,FALSE,TRUE,FALSE,"opera song, symphonic, female voice, string section, bass, muted guitar, fantasy song, slow tempo",This song features a female voice singing in opera style using only vocables and no words. This is accompanied by violins playing eighth note patterns that change according to the chords being played. 
-r7iz-9v9bA_3,Follows very well the no-lyrics only vocables prompt ,Content,,FALSE,TRUE,FALSE,TRUE,TRUE,"opera song, symphonic, female voice, string section, bass, muted guitar, fantasy song, slow tempo",This song features a female voice singing in opera style using only vocables and no words. This is accompanied by violins playing eighth note patterns that change according to the chords being played. 
-r7iz-9v9bA_4,The violins do not follow the eight note pattern command and instead do a sixteenth note pattern for the most part. Does not have voice,Content,,FALSE,TRUE,FALSE,TRUE,TRUE,"opera song, symphonic, female voice, string section, bass, muted guitar, fantasy song, slow tempo",This song features a female voice singing in opera style using only vocables and no words. This is accompanied by violins playing eighth note patterns that change according to the chords being played. 
-tmY1GEH3_Y_1,Not clearly a male vocal as specified.,Happy,,TRUE,FALSE,FALSE,TRUE,FALSE,"low quality, pop, echoing male vocal, punchy snare, shimmering hi hats, punchy kick, metallic percussions, synth lead melody, synth pad chords, groovy synth bass, energetic, exciting, nostalgic","The low quality recording features a pop song that consists of an echoing male vocal singing over punchy kick and snare hits, shimmering hi hats, metallic percussions, synth lead melody, synth pad"
-tmY1GEH3_Y_2,Not clearly a male vocal as specified.,Happy,,TRUE,FALSE,FALSE,TRUE,FALSE,"low quality, pop, echoing male vocal, punchy snare, shimmering hi hats, punchy kick, metallic percussions, synth lead melody, synth pad chords, groovy synth bass, energetic, exciting, nostalgic","The low quality recording features a pop song that consists of an echoing male vocal singing over punchy kick and snare hits, shimmering hi hats, metallic percussions, synth lead melody, synth pad"
-tmY1GEH3_Y_3,Not clearly a male vocal as specified.,Happy,,FALSE,TRUE,FALSE,TRUE,FALSE,"low quality, pop, echoing male vocal, punchy snare, shimmering hi hats, punchy kick, metallic percussions, synth lead melody, synth pad chords, groovy synth bass, energetic, exciting, nostalgic","The low quality recording features a pop song that consists of an echoing male vocal singing over punchy kick and snare hits, shimmering hi hats, metallic percussions, synth lead melody, synth pad"
-tmY1GEH3_Y_4,Not clearly a male vocal as specified.,Happy,,FALSE,TRUE,FALSE,TRUE,FALSE,"low quality, pop, echoing male vocal, punchy snare, shimmering hi hats, punchy kick, metallic percussions, synth lead melody, synth pad chords, groovy synth bass, energetic, exciting, nostalgic","The low quality recording features a pop song that consists of an echoing male vocal singing over punchy kick and snare hits, shimmering hi hats, metallic percussions, synth lead melody, synth pad"
-w8maIWtnUk_1,a lot of instruments not specified are added fllowing the general sugested style.,Exciting,Energetic,TRUE,FALSE,FALSE,TRUE,TRUE,"instrumental, jam, electric guitar, clean sound, effect pedal, echo, dreamy, trippy",This is an instrumental jam recording of a gear showcase. There is an electric guitar with a clear sound being played with an echo pedal. It gives the recording a dreamy feeling.
-w8maIWtnUk_2,a lot of instruments not specified are added fllowing the general sugested style.,Exciting,Slightly sad,TRUE,FALSE,FALSE,TRUE,TRUE,"instrumental, jam, electric guitar, clean sound, effect pedal, echo, dreamy, trippy",This is an instrumental jam recording of a gear showcase. There is an electric guitar with a clear sound being played with an echo pedal. It gives the recording a dreamy feeling.
-w8maIWtnUk_3,a lot of instruments not specified are added fllowing the general sugested style.,Happy,"Exciting, energetic",FALSE,TRUE,FALSE,TRUE,TRUE,"instrumental, jam, electric guitar, clean sound, effect pedal, echo, dreamy, trippy",This is an instrumental jam recording of a gear showcase. There is an electric guitar with a clear sound being played with an echo pedal. It gives the recording a dreamy feeling.
-w8maIWtnUk_4,Best version that follows the prompt. Starts like if another song was ending for a second or two,Calm,,FALSE,TRUE,FALSE,TRUE,TRUE,"instrumental, jam, electric guitar, clean sound, effect pedal, echo, dreamy, trippy",This is an instrumental jam recording of a gear showcase. There is an electric guitar with a clear sound being played with an echo pedal. It gives the recording a dreamy feeling.
00M9FhCet6s_1,Not clearly a male voice,Happy,,TRUE,FALSE,FALSE,TRUE,FALSE,"""childrens song"", male voice, guitar, percussion, bass, happy song, keyboard, backing voices, dance song for children, moderate tempo",This children's song features a male voice singing the main melody. There are other voices singing backing vocals. This is accompanied by percussion playing a simple beat. A guitar strums the chords
00M9FhCet6s_2,,Happy,,TRUE,FALSE,FALSE,TRUE,FALSE,"""childrens song"", male voice, guitar, percussion, bass, happy song, keyboard, backing voices, dance song for children, moderate tempo",This children's song features a male voice singing the main melody. There are other voices singing backing vocals. This is accompanied by percussion playing a simple beat. A guitar strums the chords
00M9FhCet6s_3,Not clearly a male voice,Happy,Cheerful,FALSE,TRUE,FALSE,TRUE,FALSE,"""childrens song"", male voice, guitar, percussion, bass, happy song, keyboard, backing voices, dance song for children, moderate tempo",This children's song features a male voice singing the main melody. There are other voices singing backing vocals. This is accompanied by percussion playing a simple beat. A guitar strums the chords
